periodo;rama_sector;fbkf_$2004
2004;Reproductiva Privada Total; 49.486 
2004;A - Agricultura, ganadería, caza y silvicultura; 4.037 
2004;011. Cultivos agrícolas; 2.113 
2004;012. Cría de animales; 1.644 
2004;014. Servicios agrícolas y pecuarios, excepto los veterinarios; 175 
2004;015. Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos; 0 
2004;020. Silvicultura, extracción de madera y servicios conexos; 91 
2004;B - Pesca y servicios conexos; 272 
2004;050. Pesca y servicios conexos; 272 
2004;C - Explotación de minas y canteras; 10.233 
2004;101. Extracción y aglomeración de carbón; 0 
2004;102. Extracción y aglomeración de lignito; -   
2004;103. Extracción y aglomeración de turba; 0 
2004;111. Extracción de petróleo crudo y gas natural; 8.925 
2004;112. Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección; 541 
2004;120. Extracción de minerales y concentrados de uranio y torio;-0 
2004;131. Extracción de minerales de hierro; 631 
2004;132. Extracción de minerales metalíferos no ferrosos, excepto minerales de uranio y torio; 24 
2004;141. Extracción de piedra, arena y arcillas; 66 
2004;142. Explotación de minas y canteras n.c.p.; 50 
2004;D - Industria manufacturera; 7.668 
2004;151. Producción y procesamiento de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas; 1.284 
2004;152.Elaboración de productos lácteos; 622 
2004;153. Elaboración de productos de molinería, almidones y productos derivados del almidón y de alimentos preparados para animales; 195 
2004;154. Elaboración de productos alimenticios n.c.p.; 238 
2004;155. Elaboración de bebidas; 426 
2004;160. Elaboración de productos de tabaco; 121 
2004;171. Fabricación de hilados y tejidos, acabado de productos textiles; 307 
2004;172. Fabricación de productos textiles n.c.p.;-10 
2004;173. Fabricación de tejidos de punto y artículos de punto y ganchillo; 34 
2004;181. Confección de prendas de vestir, excepto prendas de piel; 53 
2004;"182. Terminación y teñido de pieles; fabricación de artículos de piel"; 2 
2004;"191. Curtido y terminación de cueros; fabricación de artículos de marroquinería y talabartería"; 107 
2004;192. Fabricación de calzado y de sus partes;-175 
2004;201. Aserrado y cepillado de madera; 37 
2004;202. Fabricación de productos de madera, corcho, paja y materiales trenzables; 195 
2004;210. Fabricación de papel y productos de papel; 298 
2004;221. Edición; 116 
2004;222. Impresión y servicios conexos; 162 
2004;223. Reproducción de grabaciones; 2 
