periodo;molienda_cereales_y_oleaginosas;resto_de_alimentos;bebidas;tabaco;textil_indumentaria_y_cuero;madera_papel_y_edicion;refinacion_de_petroleo;quimicos;caucho_y_plastico;minerales_no_metalicos;metales_basicos;metalmecanica;automotriz;resto_de_industria;total_industria
1/1/2011;105.416.615;1.343.592.599.999.990;5.547.925.900.000.000;2836,7;7.181.833.400.000.000;1.143.324.940.000.000;60.890.927;2.137.813.159.999.990;8.100.737.999.999.990;1.502.712.660.000.000;2.332.369.700.000.000;21.775.632;32.388.469;1248,96;1.278.843.582
1/2/2011;9.497.715.899.999.990;135.665.267;5.085.562.700.000.000;3.288.900.000.000.000;7.842.127.900.000.000;109878,17;5.782.389.500.000.000;1.963.010.889.999.990;78.415.056;1.389.122.819.999.990;2.834.613.700.000.000;22.502.314;3.877.238.499.999.990;1148,86;1.290.423.653
1/3/2011;116.117.421;142.766.499;5.013.505.799.999.990;3416,1;7.867.956.600.000.000;116.822.983;5.989.373.799.999.990;2.054.618.369.999.990;8.240.460.400.000.000;162784,83;3.014.852.199.999.990;24.576.709;4.443.964.999.999.990;1.090.983;1.390.075.198
1/4/2011;125.882.504;140501,9;4.553.744.900.000.000;3437,4;7.592.652.499.999.990;115.849.901;59.897.999;198.921.449;8.290.549.000.000.000;166599,99;298.785.106;2.463.975.699.999.990;44.271.217;1.018.559;1.384.175.246
1/5/2011;129.902.624;1.404.458.340.000.000;4.037.733.799.999.990;3390,5;77.643.101;118.444.213;63019,99;206.280.268;84.707.088;1.752.868.449.999.990;329333,99;25.105.692;4.625.425.600.000.000;9.823.500.000.000.000;1.441.174.089
1/6/2011;124.756.641;133670,4;36.721.362;3210,6;7.643.309.699.999.990;111971,84;5.789.505.900.000.000;1.947.652.800.000.000;8.225.729.599.999.990;1.568.382.859.999.990;3.292.823.050.000.000;24.655.231;4.633.430.099.999.990;887.326;1.379.679.024
1/7/2011;115.120.301;134.225.579;40.342.925;2395;7.502.290.999.999.990;117.945.441;6.427.006.600.000.000;1.826.348.889.999.990;8.183.757.000.000.000;156.541.273;3.384.999.770.000.000;24.846.384;46.249.405;816.917;1.380.748.637
1/8/2011;118.118.608;1.396.766.809.999.990;4.412.343.299.999.990;2470,3;7.519.171.800.000.000;122791,66;6.263.915.299.999.990;195.508.314;8.663.562.299.999.990;161.809.779;3.163.816.880.000.000;2.617.510.200.000.000;47.558.768;9.665.990.000.000.000;1.400.047.426
1/9/2011;123.703.424;1.384.057.640.000.000;45.044.167;2421,1;7.453.516.700.000.000;119.255.084;58.945.821;202.806.272;8.441.955.399.999.990;177.745.564;2.881.891.250.000.000;24.716.741;4.665.078.999.999.990;9.075.500.000.000.000;1.387.746.123.000.000
1/10/2011;1.168.299.639.999.990;1.390.426.800.000.000;48.808.935;2396,6;74.752.274;122.461.589;61.299.029;211.232.297;8.739.420.399.999.990;176.008.142;318.643.676;24.420.532;4.553.688.200.000.000;9.744.770.000.000.000;1.429.801.281
