indice_tiempo,puestos_de_trabajo_equivalentes,observaciones
2012-01-01,64221,""
2012-02-01,63931,""
2012-03-01,59438,""
2012-04-01,57009,""
2012-05-01,52799,""
2012-06-01,52719,""
2012-07-01,56431,""
2012-08-01,56140,""
2012-09-01,55693,""
2012-10-01,56099,""
2012-11-01,58178,""
2012-12-01,58163,""
2013-01-01,62492,""
2013-02-01,61950,""
2013-03-01,56787,""
2013-04-01,51466,""
2013-05-01,49316,""
2013-06-01,49622,""
2013-07-01,53799,""
2013-08-01,52518,""
2013-09-01,53062,""
2013-10-01,52488,""
2013-11-01,53433,""
2013-12-01,53780,""
2014-01-01,61691,""
2014-02-01,60924,""
2014-03-01,55880,""
2014-04-01,53408,""
2014-05-01,50172,""
2014-06-01,50365,""
2014-07-01,53663,""
2014-08-01,53343,""
2014-09-01,53211,""
2014-10-01,53961,""
2014-11-01,54689,""
2014-12-01,55555,""
2015-01-01,62790,""
2015-02-01,62959,""
2015-03-01,57566,""
2015-04-01,54487,""
2015-05-01,50781,""
2015-06-01,50572,""
2015-07-01,54319,""
2015-08-01,53934,""
2015-09-01,54049,""
2015-10-01,53800,""
2015-11-01,54991,""
2015-12-01,55566,""
2016-01-01,64154,""
2016-02-01,62700,""
2016-03-01,56992,""
2016-04-01,52762,""
2016-05-01,50313,""
2016-06-01,50296,""
2016-07-01,53293,""
2016-08-01,53215,""
2016-09-01,53767,""
2016-10-01,54427,""
2016-11-01,55700,""
2016-12-01,56443,""
2017-01-01,63291,""
2017-02-01,62831,""
2017-03-01,56956,""
2017-04-01,54450,""
2017-05-01,50571,""
2017-06-01,51513,""
2017-07-01,54736,""
2017-08-01,53892,""
2017-09-01,54286,""
2017-10-01,54603,""
2017-11-01,54622,""
2017-12-01,55797,""
2018-01-01,61842,""
2018-02-01,61298,""
2018-03-01,57654,""
2018-04-01,53611,""
2018-05-01,50674,""
2018-06-01,50416,""
2018-07-01,53999,""
2018-08-01,53436,""
2018-09-01,54080,""
2018-10-01,54301,""
2018-11-01,55110,""
2018-12-01,55725,""
2019-01-01,62836,""
2019-02-01,62334,""
2019-03-01,57177,""
2019-04-01,54307,""
2019-05-01,50870,""
2019-06-01,51245,""
2019-07-01,55147,""
2019-08-01,54180,""
2019-09-01,53999,""
2019-10-01,56402,""
2019-11-01,57055,""
2019-12-01,58300,""
2020-01-01,66598,""
2020-02-01,66897,""
2020-03-01,35343,""
2020-04-01,0,Emergencia sanitaria. La actividad de los establecimientos hoteleras estuvo limitada según la resolución n° 131/202 dispuesta por el Ministerio de Turismo y Deportes de la Nación.
2020-05-01,0,"Emergencia sanitaria. Hacia finales del mes de mayo 2020, la provincia de Jujuy habilitó el turismo interno pero debido a la insuficiencia de datos, los resultados no se publicaron y las estimaciones a nivel regional y nacional se presentaron en cero."
2020-06-01,4902,""
2020-07-01,6906,""
2020-08-01,7127,""
2020-09-01,9571,""
2020-10-01,10662,""
2020-11-01,15233,""
2020-12-01,29040,""
2021-01-01,37085,""
2021-02-01,39639,""
2021-03-01,36632,""
2021-04-01,35928,""
2021-05-01,28989,""
2021-06-01,27375,""
2021-07-01,34653,""
2021-08-01,36883,""
2021-09-01,37621,""
2021-10-01,41365,""
2021-11-01,43420,""
2021-12-01,45922,""
2022-01-01,54199,""
2022-02-01,54321,""
2022-03-01,49755,""
2022-04-01,48142,""
2022-05-01,44919,""
2022-06-01,45920,""
2022-07-01,50078,""
2022-08-01,51231,""
2022-09-01,50788,""
2022-10-01,53058,""
2022-11-01,52474,""
2022-12-01,54141,""
2023-01-01,62188,""
2023-02-01,62329,""
2023-03-01,58216,""
2023-04-01,55561,""
2023-05-01,53266,""
2023-06-01,53166,""
2023-07-01,55952,""
2023-08-01,55086,""
2023-09-01,56220,""
2023-10-01,55376,""
2023-11-01,56506,""
2023-12-01,56987,""
2024-01-01,60514,Dato provisorio
2024-02-01,60716,Dato provisorio
2024-03-01,57569,Dato provisorio
2024-04-01,52995,Dato provisorio
2024-05-01,49600,Dato provisorio
2024-06-01,50430,Dato provisorio
2024-07-01,53674,Dato provisorio
2024-08-01,52424,Dato provisorio
2024-09-01,52758,Dato provisorio
2024-10-01,54898,Dato provisorio
2024-11-01,54722,Dato provisorio
2024-12-01,55884,Dato provisorio
