indice_tiempo,region_de_destino,categoria_del_hotel,tasa_de_ocupacion_plazas,observaciones
2012-01-01,Buenos Aires,1 y 2 estrellas,0.63,""
2012-01-01,Buenos Aires,3 estrellas/boutiques/aparts,0.67,""
2012-01-01,Buenos Aires,4 y 5 estrellas,0.62,""
2012-01-01,Buenos Aires,Para Hoteles,0.69,""
2012-01-01,Buenos Aires,Total,0.66,""
2012-01-01,CABA,1 y 2 estrellas,0.35,""
2012-01-01,CABA,3 estrellas/boutiques/aparts,0.44,""
2012-01-01,CABA,4 y 5 estrellas,0.49,""
2012-01-01,CABA,Para Hoteles,0.34,""
2012-01-01,CABA,Total,0.43,""
2012-01-01,Cuyo,1 y 2 estrellas,0.26,""
2012-01-01,Cuyo,3 estrellas/boutiques/aparts,0.34,""
2012-01-01,Cuyo,4 y 5 estrellas,0.31,""
2012-01-01,Cuyo,Para Hoteles,0.32,""
2012-01-01,Cuyo,Total,0.31,""
2012-01-01,Córdoba,1 y 2 estrellas,0.67,""
2012-01-01,Córdoba,3 estrellas/boutiques/aparts,0.62,""
2012-01-01,Córdoba,4 y 5 estrellas,0.51,""
2012-01-01,Córdoba,Para Hoteles,0.68,""
2012-01-01,Córdoba,Total,0.65,""
2012-01-01,Litoral,1 y 2 estrellas,0.35,""
2012-01-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2012-01-01,Litoral,4 y 5 estrellas,0.41,""
2012-01-01,Litoral,Para Hoteles,0.45,""
2012-01-01,Litoral,Total,0.39,""
2012-01-01,Norte,1 y 2 estrellas,0.26,""
2012-01-01,Norte,3 estrellas/boutiques/aparts,0.31,""
2012-01-01,Norte,4 y 5 estrellas,0.29,""
2012-01-01,Norte,Para Hoteles,0.33,""
2012-01-01,Norte,Total,0.3,""
2012-01-01,Patagonia,1 y 2 estrellas,0.34,""
2012-01-01,Patagonia,3 estrellas/boutiques/aparts,0.46,""
2012-01-01,Patagonia,4 y 5 estrellas,0.44,""
2012-01-01,Patagonia,Para Hoteles,0.39,""
2012-01-01,Patagonia,Total,0.41,""
2012-02-01,Buenos Aires,1 y 2 estrellas,0.5,""
2012-02-01,Buenos Aires,3 estrellas/boutiques/aparts,0.57,""
2012-02-01,Buenos Aires,4 y 5 estrellas,0.56,""
2012-02-01,Buenos Aires,Para Hoteles,0.62,""
2012-02-01,Buenos Aires,Total,0.57,""
2012-02-01,CABA,1 y 2 estrellas,0.37,""
2012-02-01,CABA,3 estrellas/boutiques/aparts,0.42,""
2012-02-01,CABA,4 y 5 estrellas,0.47,""
2012-02-01,CABA,Para Hoteles,0.36,""
2012-02-01,CABA,Total,0.42,""
2012-02-01,Cuyo,1 y 2 estrellas,0.26,""
2012-02-01,Cuyo,3 estrellas/boutiques/aparts,0.34,""
2012-02-01,Cuyo,4 y 5 estrellas,0.35,""
2012-02-01,Cuyo,Para Hoteles,0.28,""
2012-02-01,Cuyo,Total,0.31,""
2012-02-01,Córdoba,1 y 2 estrellas,0.56,""
2012-02-01,Córdoba,3 estrellas/boutiques/aparts,0.57,""
2012-02-01,Córdoba,4 y 5 estrellas,0.44,""
2012-02-01,Córdoba,Para Hoteles,0.6,""
2012-02-01,Córdoba,Total,0.57,""
2012-02-01,Litoral,1 y 2 estrellas,0.33,""
2012-02-01,Litoral,3 estrellas/boutiques/aparts,0.37,""
2012-02-01,Litoral,4 y 5 estrellas,0.41,""
2012-02-01,Litoral,Para Hoteles,0.5,""
2012-02-01,Litoral,Total,0.42,""
2012-02-01,Norte,1 y 2 estrellas,0.24,""
2012-02-01,Norte,3 estrellas/boutiques/aparts,0.27,""
2012-02-01,Norte,4 y 5 estrellas,0.32,""
2012-02-01,Norte,Para Hoteles,0.26,""
2012-02-01,Norte,Total,0.27,""
2012-02-01,Patagonia,1 y 2 estrellas,0.31,""
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,0.41,""
2012-02-01,Patagonia,4 y 5 estrellas,0.42,""
2012-02-01,Patagonia,Para Hoteles,0.35,""
2012-02-01,Patagonia,Total,0.37,""
2012-03-01,Buenos Aires,1 y 2 estrellas,0.25,""
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,0.31,""
2012-03-01,Buenos Aires,4 y 5 estrellas,0.31,""
2012-03-01,Buenos Aires,Para Hoteles,0.35,""
2012-03-01,Buenos Aires,Total,0.31,""
2012-03-01,CABA,1 y 2 estrellas,0.41,""
2012-03-01,CABA,3 estrellas/boutiques/aparts,0.5,""
2012-03-01,CABA,4 y 5 estrellas,0.54,""
2012-03-01,CABA,Para Hoteles,0.36,""
2012-03-01,CABA,Total,0.48,""
2012-03-01,Cuyo,1 y 2 estrellas,0.3,""
2012-03-01,Cuyo,3 estrellas/boutiques/aparts,0.29,""
2012-03-01,Cuyo,4 y 5 estrellas,0.31,""
2012-03-01,Cuyo,Para Hoteles,0.18,""
2012-03-01,Cuyo,Total,0.27,""
2012-03-01,Córdoba,1 y 2 estrellas,0.42,""
2012-03-01,Córdoba,3 estrellas/boutiques/aparts,0.41,""
2012-03-01,Córdoba,4 y 5 estrellas,0.35,""
2012-03-01,Córdoba,Para Hoteles,0.26,""
2012-03-01,Córdoba,Total,0.35,""
2012-03-01,Litoral,1 y 2 estrellas,0.27,""
2012-03-01,Litoral,3 estrellas/boutiques/aparts,0.31,""
2012-03-01,Litoral,4 y 5 estrellas,0.34,""
2012-03-01,Litoral,Para Hoteles,0.3,""
2012-03-01,Litoral,Total,0.31,""
2012-03-01,Norte,1 y 2 estrellas,0.15,""
2012-03-01,Norte,3 estrellas/boutiques/aparts,0.26,""
2012-03-01,Norte,4 y 5 estrellas,0.27,""
2012-03-01,Norte,Para Hoteles,0.19,""
2012-03-01,Norte,Total,0.21,""
2012-03-01,Patagonia,1 y 2 estrellas,0.25,""
2012-03-01,Patagonia,3 estrellas/boutiques/aparts,0.26,""
2012-03-01,Patagonia,4 y 5 estrellas,0.31,""
2012-03-01,Patagonia,Para Hoteles,0.22,""
2012-03-01,Patagonia,Total,0.25,""
2012-04-01,Buenos Aires,1 y 2 estrellas,0.2,""
2012-04-01,Buenos Aires,3 estrellas/boutiques/aparts,0.24,""
2012-04-01,Buenos Aires,4 y 5 estrellas,0.28,""
2012-04-01,Buenos Aires,Para Hoteles,0.25,""
2012-04-01,Buenos Aires,Total,0.24,""
2012-04-01,CABA,1 y 2 estrellas,0.42,""
2012-04-01,CABA,3 estrellas/boutiques/aparts,0.48,""
2012-04-01,CABA,4 y 5 estrellas,0.5,""
2012-04-01,CABA,Para Hoteles,0.35,""
2012-04-01,CABA,Total,0.46,""
2012-04-01,Cuyo,1 y 2 estrellas,0.25,""
2012-04-01,Cuyo,3 estrellas/boutiques/aparts,0.31,""
2012-04-01,Cuyo,4 y 5 estrellas,0.36,""
2012-04-01,Cuyo,Para Hoteles,0.18,""
2012-04-01,Cuyo,Total,0.28,""
2012-04-01,Córdoba,1 y 2 estrellas,0.38,""
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,0.39,""
2012-04-01,Córdoba,4 y 5 estrellas,0.38,""
2012-04-01,Córdoba,Para Hoteles,0.21,""
2012-04-01,Córdoba,Total,0.31,""
2012-04-01,Litoral,1 y 2 estrellas,0.28,""
2012-04-01,Litoral,3 estrellas/boutiques/aparts,0.34,""
2012-04-01,Litoral,4 y 5 estrellas,0.38,""
2012-04-01,Litoral,Para Hoteles,0.28,""
2012-04-01,Litoral,Total,0.32,""
2012-04-01,Norte,1 y 2 estrellas,0.22,""
2012-04-01,Norte,3 estrellas/boutiques/aparts,0.3,""
2012-04-01,Norte,4 y 5 estrellas,0.39,""
2012-04-01,Norte,Para Hoteles,0.22,""
2012-04-01,Norte,Total,0.27,""
2012-04-01,Patagonia,1 y 2 estrellas,0.26,""
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,0.24,""
2012-04-01,Patagonia,4 y 5 estrellas,0.28,""
2012-04-01,Patagonia,Para Hoteles,0.19,""
2012-04-01,Patagonia,Total,0.23,""
2012-05-01,Buenos Aires,1 y 2 estrellas,0.12,""
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,0.14,""
2012-05-01,Buenos Aires,4 y 5 estrellas,0.18,""
2012-05-01,Buenos Aires,Para Hoteles,0.14,""
2012-05-01,Buenos Aires,Total,0.14,""
2012-05-01,CABA,1 y 2 estrellas,0.37,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,0.41,""
2012-05-01,CABA,4 y 5 estrellas,0.43,""
2012-05-01,CABA,Para Hoteles,0.31,""
2012-05-01,CABA,Total,0.39,""
2012-05-01,Cuyo,1 y 2 estrellas,0.2,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,0.25,""
2012-05-01,Cuyo,4 y 5 estrellas,0.25,""
2012-05-01,Cuyo,Para Hoteles,0.13,""
2012-05-01,Cuyo,Total,0.21,""
2012-05-01,Córdoba,1 y 2 estrellas,0.3,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,0.32,""
2012-05-01,Córdoba,4 y 5 estrellas,0.33,""
2012-05-01,Córdoba,Para Hoteles,0.11,""
2012-05-01,Córdoba,Total,0.24,""
2012-05-01,Litoral,1 y 2 estrellas,0.23,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,0.29,""
2012-05-01,Litoral,4 y 5 estrellas,0.32,""
2012-05-01,Litoral,Para Hoteles,0.19,""
2012-05-01,Litoral,Total,0.26,""
2012-05-01,Norte,1 y 2 estrellas,0.14,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,0.23,""
2012-05-01,Norte,4 y 5 estrellas,0.32,""
2012-05-01,Norte,Para Hoteles,0.17,""
2012-05-01,Norte,Total,0.2,""
2012-05-01,Patagonia,1 y 2 estrellas,0.25,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,0.17,""
2012-05-01,Patagonia,4 y 5 estrellas,0.18,""
2012-05-01,Patagonia,Para Hoteles,0.12,""
2012-05-01,Patagonia,Total,0.17,""
2012-06-01,Buenos Aires,1 y 2 estrellas,0.11,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,0.12,""
